2026-04-11 13:13:04 | pipeline.compute.ev_calculator | INFO  | ev_calculator set=WHT date=2026-04-11  ev_raw=3.9953  ev_psa10=31.3816  total_raw=2112.9200  buckets=5  cards=93
2026-04-11 13:13:04 | pipeline.daily         | INFO  | compute_ev_for_set: 20 ok, 0 failed
2026-04-11 13:13:04 | pipeline.daily         | INFO  | [stage] compute:pack_cost
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=ASC date=2026-04-11  avg_pack_cost=15.0592  bp=1 sl=0 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=BLK date=2026-04-11  avg_pack_cost=12.1883  bp=1 sl=0 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=DRI date=2026-04-11  avg_pack_cost=11.4311  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=JTG date=2026-04-11  avg_pack_cost=7.1017  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=MEG date=2026-04-11  avg_pack_cost=7.6422  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=MEW date=2026-04-11  avg_pack_cost=28.4167  bp=1 sl=0 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=OBF date=2026-04-11  avg_pack_cost=12.4667  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=PAF date=2026-04-11  avg_pack_cost=21.375  bp=1 sl=0 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=PAL date=2026-04-11  avg_pack_cost=13.6639  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=PAR date=2026-04-11  avg_pack_cost=7.7433  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=PFL date=2026-04-11  avg_pack_cost=9.055  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=POR date=2026-04-11  avg_pack_cost=8.0856  bp=1 sl=1 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=PRE date=2026-04-11  avg_pack_cost=13.165  bp=1 sl=0 bb=1
2026-04-11 13:13:04 | pipeline.compute.pack_cost | INFO  | pack_cost set=SCR date=2026-04-11  avg_pack_cost=8.3378  bp=1 sl=1 bb=1
